"gutenberg_id","title","author","lccn","wikipedia_url","publication_year"
"135","Les Misérables","Victor Hugo","","https://en.wikipedia.org/wiki/Les_Mis%C3%A9rables","1862"
"136","A Child's Garden of Verses","Robert Louis Stevenson","","https://en.wikipedia.org/wiki/A_Child%27s_Garden_of_Verses","1885"
"137","Sara Crewe; Or, What Happened at Miss Minchin's Boarding School","Burnett","","https://en.wikipedia.org/wiki/A_Little_Princess","1905"
"139","The Lost World","Arthur Conan Doyle","","https://en.wikipedia.org/wiki/The_Lost_World_(Doyle_novel)","1912"
"140","The Jungle","Upton Sinclair","","https://en.wikipedia.org/wiki/The_Jungle","1906"
"141","Mansfield Park","Jane Austen","","https://en.wikipedia.org/wiki/Mansfield_Park","1814"
"142","The $30,000 Bequest, and Other Stories","Mark Twain","","https://en.wikipedia.org/wiki/The_$30,000_Bequest_and_Other_Stories","1906"
"143","The Mayor of Casterbridge","Thomas Hardy","","https://en.wikipedia.org/wiki/The_Mayor_of_Casterbridge","1886"
"144","The Voyage Out","Virginia Woolf","","https://en.wikipedia.org/wiki/The_Voyage_Out","1915"
"145","Middlemarch","George Eliot","","https://en.wikipedia.org/wiki/Middlemarch","1871"
"146","A Little Princess","Frances Hodgson Burnett","","https://en.wikipedia.org/wiki/A_Little_Princess","1905"
"147","Common Sense","Thomas Paine","","https://en.wikipedia.org/wiki/Common_Sense","1776"
"148","The Autobiography of Benjamin Franklin","Benjamin Franklin","","https://en.wikipedia.org/wiki/The_Autobiography_of_Benjamin_Franklin","1791"
"151","The Rime of the Ancient Mariner","Samuel Taylor Coleridge","","https://en.wikipedia.org/wiki/The_Rime_of_the_Ancient_Mariner","1798"
"153","Jude the Obscure","Thomas Hardy","","https://en.wikipedia.org/wiki/Jude_the_Obscure","1895"
"154","The Rise of Silas Lapham","William Dean Howells","","https://en.wikipedia.org/wiki/The_Rise_of_Silas_Lapham","1885"
"155","The Moonstone","Wilkie Collins","","https://en.wikipedia.org/wiki/The_Moonstone","1868"
"156","Symphony No. 5 in C minor, Opus 67","Ludwig van Beethoven","","https://en.wikipedia.org/wiki/Symphony_No._5_(Beethoven)","1808"
"157","Daddy-Long-Legs","Jean Webster","","https://en.wikipedia.org/wiki/Daddy-Long-Legs_(novel)","1912"
"158","Emma","Jane Austen","","https://en.wikipedia.org/wiki/Emma_(novel)","1816"
"159","The island of Doctor Moreau","H. G. Wells","","https://en.wikipedia.org/wiki/The_Island_of_Doctor_Moreau","1896"
"161","Sense and Sensibility","Jane Austen","","https://en.wikipedia.org/wiki/Sense_and_Sensibility","1811"
"163","Flower Fables","Louisa May Alcott","","https://en.wikipedia.org/wiki/Flower_Fables","1854"
"164","Twenty Thousand Leagues under the Sea","Jules Verne","","https://en.wikipedia.org/wiki/Twenty_Thousand_Leagues_Under_the_Seas","1869"
"165","McTeague: A Story of San Francisco","Frank Norris","","https://en.wikipedia.org/wiki/McTeague","1899"
"166","Summer","Edith Wharton","","https://en.wikipedia.org/wiki/Summer_(Wharton_novel)","1917"
"169","The Well at the World's End: A Tale","William Morris","","https://en.wikipedia.org/wiki/The_Well_at_the_World%27s_End","1896"
"171","Charlotte Temple","Mrs. Rowson","","https://en.wikipedia.org/wiki/Charlotte_Temple","1791"
"172","The Haunted Bookshop","Christopher Morley","","https://en.wikipedia.org/wiki/The_Haunted_Bookshop","1919"
